Username,ID,Date,RT,Fails
93q84659q837,gpv7364cfr,2021-02-16T22:33:16+00:00,4018,0
Testing,ubnb5yz00f,2021-02-16T23:15:38+00:00,7945,0
testing2,crn2zwzoav,2021-02-16T23:33:33+00:00,4458,0
Testing3,a12f6jtywi,2021-02-16T23:50:52+00:00,3275,0
test,txtac4f3np,2021-02-17T22:27:46+00:00,5068,0
test,w6j6v6416o,2021-02-19T18:23:30+00:00,3323,0
W785427,0dal1uzq8e,2021-02-24T04:41:15+00:00,19894,0
testlabmeet,db0h7f0bgh,2021-02-25T18:42:51+00:00,30012,1
10063255,pvk4etu7ki,2021-03-02T03:11:54+00:00,9969,0
